source_index,target_index,source_entity,target_entity,type,count
C0013687,C0032225,effusion,pleural,located_at,36265
small,C0013687,small,effusion,modify,14048
C0449911,C0817096,view,chest,located_at,12673
C0443246,C0032225,left,pleural,modify,11317
C0013604,C0024109,edema,pulmonary,located_at,14285
C0205251,C0449468,low,volumes,modify,9280
C0205090,C0024109,right,lung,modify,9158
C0449468,C0024109,volumes,lung,located_at,11919
C0029053,C0004144,opacities,atelectasis,suggestive_of,8779
normal,C0439801,normal,limits,modify,9065
C0443246,C0024109,left,lung,modify,7970
C0205090,C0032225,right,pleural,modify,7371
cardiomediastinal,silhouette,cardiomediastinal,silhouette,located_at,10043
C0205171,C0449911,single,view,modify,7147
clear,C0024109,clear,lungs,modify,7156
C0599554,C0175730,endotracheal,tube,modify,6754
C0205102,jugular,internal,jugular,modify,6474
C1547225,C0013604,mild,edema,modify,6094
C0205123,C0449911,frontal,view,modify,5827
interval,C0441587,interval,placement,modify,5804
C1306645,C0817096,radiograph,chest,located_at,7824
C0029053,C0024109,opacity,lung,located_at,5771
central,C0042449,central,venous,modify,5584
C0029053,C0178499,opacity,base,located_at,5559
C0441994,C0796494,lower,lobe,modify,5468
C0018787,silhouette,cardiac,silhouette,located_at,5628
C0205178,C1704258,acute,abnormalities,modify,4916
C0029053,bibasilar,opacities,bibasilar,located_at,6641
C0238767,C0032225,bilateral,pleural,modify,4839
C0205090,jugular,right,jugular,modify,4768
C0175730,C0817096,tube,chest,located_at,6088
C0443246,C0817096,left,chest,modify,4600
interval,C0015252,interval,removal,modify,4577
C0024109,C0005847,pulmonary,vasculature,modify,4544
C0205090,ij,right,ij,modify,4361
C0456389,C0018787,size,heart,modify,4870
C0029053,retrocardiac,opacity,retrocardiac,located_at,4087
C0011164,C0392747,degenerative,changes,modify,3922
C0032326,C0205111,pneumothorax,apical,located_at,4933
C0205234,C0521530,focal,consolidation,modify,3879
C0205217,C0029053,increased,opacity,modify,3828
C0204695,C0175730,feeding,tube,modify,3812
interval,C0392747,interval,change,modify,3814
C0694637,C0175730,nasogastric,tube,modify,3782
within,C0439801,within,limits,modify,3711
C0042449,C0085590,venous,catheter,modify,4124
C4299032,C0449911,portable,view,modify,3716
C1704258,C0262950,abnormalities,osseous,located_at,4561
C0029053,C0521530,opacity,consolidation,suggestive_of,3687
C1704258,C0443157,abnormalities,bony,located_at,3771
significant,C0392747,significant,change,modify,3578
C0442739,C0733755,unchanged,position,modify,3537
C0262950,C0678594,osseous,structures,located_at,3476
small,C0032326,small,pneumothorax,modify,3371
C0205413,C0029053,patchy,opacities,modify,3358
C0205090,C0817096,right,chest,modify,3345
C0549183,C0185792,median,sternotomy,modify,3300
C0443246,C1184146,left,basilar,modify,3254
C0029053,airspace,opacities,airspace,located_at,3398
C0205322,C0029053,persistent,opacities,modify,3182
C0205090,C0205111,right,apical,modify,3148
C0179740,C0205132,picc,line,located_at,3429
lateral,C0449911,lateral,views,modify,3142
C0205360,C0733755,stable,position,modify,3143
C0441994,C0024109,lower,lung,modify,3128
